vehicle_id,brand,model,battery_capacity_kWh,range_km,charging_type,price_in_lakh,manufacture_year,city,customer_age,rating_out_of_5
251,Mercedes,EV6,113,631,Home,88.24,2023,Surat,64,4.1
252,Hyundai,Model S,73,277,Home,52.53,2018,Hyderabad,46,2.6
253,Kia,Model S,77,451,Supercharger,128.19,2015,Ahmedabad,67,2.8
254,Mercedes,Kona,81,322,Public,71.78,2016,Kolkata,67,4.7
255,Hyundai,Model 3,70,239,Fast,64.27,2018,Chennai,42,4.4
256,BMW,Taycan,97,148,Supercharger,31.59,2017,Delhi,59,4
257,Audi,Model X,67,281,Supercharger,41.92,2018,Delhi,37,3.4
258,BMW,Leaf,46,633,Slow,44.62,2017,Kolkata,57,3.9
259,Audi,Model 3,96,219,Supercharger,63.84,2022,Pune,66,3.7
260,Nissan,EQC,74,176,Supercharger,77.62,2023,Hyderabad,44,2.6
261,Nissan,Nexon,103,602,Supercharger,148.59,2024,Kolkata,42,4.9
262,Nissan,EQC,68,264,Slow,84.03,2023,Pune,64,2.8
263,Kia,Model S,43,273,Home,72.74,2016,Bangalore,64,2.1
264,BMW,Model X,29,500,Supercharger,97.76,2020,Mumbai,65,3
265,Audi,Model 3,26,158,Home,114.56,2020,Surat,29,3.6
266,Hyundai,ZS EV,36,267,Home,147.01,2022,Delhi,35,2.2
267,Tesla,EV6,41,646,Slow,149.72,2018,Jaipur,38,3.8
268,Hyundai,Model X,78,351,Home,129.83,2015,Jaipur,68,2.9
269,Tesla,i3,63,232,Slow,11.17,2017,Mumbai,60,2.2
270,Tata,Model X,30,597,Supercharger,11.08,2016,Kolkata,48,3.4
271,Hyundai,e-tron,61,525,Fast,51.85,2021,Ahmedabad,35,4
272,Mercedes,Taycan,42,271,Slow,130.84,2019,Mumbai,59,3.9
273,Mercedes,e-tron,79,361,Fast,115.4,2023,Surat,33,2.9
274,MG,Taycan,105,591,Supercharger,96.25,2018,Mumbai,37,3
275,BMW,e-tron,81,521,Fast,32.96,2017,Bangalore,46,4.5
276,Tesla,Kona,73,383,Public,145.86,2023,Kolkata,28,2.4
277,Tesla,i3,101,500,Public,135.3,2021,Surat,20,4.4
278,BMW,e-tron,109,197,Supercharger,137.43,2015,Ahmedabad,25,2.4
279,Kia,Model 3,113,422,Home,78.62,2015,Kolkata,58,2.7
280,MG,EQC,32,335,Home,58.34,2017,Bangalore,68,2.8
281,Kia,EV6,87,348,Slow,97.38,2017,Ahmedabad,61,4.1
282,Kia,Kona,46,271,Public,100.16,2015,Delhi,36,3.9
283,Kia,Model X,59,649,Slow,139.47,2015,Pune,43,2.9
284,BMW,Model S,93,602,Supercharger,87.87,2016,Jaipur,64,3
285,Kia,i3,111,587,Fast,132.42,2016,Kolkata,44,2.3
286,Mercedes,Taycan,104,215,Public,50.74,2017,Mumbai,32,3.7
287,Nissan,e-tron,94,604,Home,11.16,2024,Delhi,36,3.1
288,Tata,Model 3,103,504,Slow,68.27,2017,Ahmedabad,49,4
289,Tesla,Model 3,119,359,Fast,33.98,2023,Bangalore,53,4.9
290,Tesla,ZS EV,102,392,Home,117.82,2015,Hyderabad,63,4.9
291,Tata,e-tron,29,165,Home,121.69,2019,Hyderabad,39,2.5
292,BMW,EQC,34,581,Supercharger,118.54,2024,Jaipur,23,3.5
293,Hyundai,Nexon,64,470,Home,72.11,2016,Ahmedabad,45,3.1
294,BMW,Kona,72,378,Home,134.47,2019,Mumbai,28,2.2
295,Tesla,Model S,101,175,Home,69.61,2019,Mumbai,22,3.4
296,Tesla,EQC,26,177,Fast,91.99,2017,Hyderabad,33,3.1
297,Tata,Model 3,49,566,Fast,35.95,2016,Hyderabad,68,2.2
298,Kia,e-tron,97,345,Home,8.46,2022,Kolkata,55,3.1
299,BMW,Nexon,49,383,Supercharger,92.65,2016,Ahmedabad,36,2.1
300,Audi,Model X,46,323,Home,99.7,2016,Chennai,63,3.9
301,Tata,Model 3,68,576,Public,139.71,2016,Bangalore,58,4.8
302,Mercedes,Kona,76,541,Public,127.5,2024,Chennai,24,2.7
303,Tesla,EV6,83,168,Slow,117.52,2020,Bangalore,50,3.5
304,Tata,EV6,82,562,Public,106.54,2017,Jaipur,35,3.8
305,BMW,e-tron,67,330,Slow,67.62,2019,Delhi,64,2.7
306,Tesla,Model 3,60,140,Slow,75.87,2017,Hyderabad,62,2.9
307,Hyundai,Kona,100,516,Slow,118.01,2021,Mumbai,21,2.8
308,Tata,Taycan,49,474,Slow,28.03,2017,Hyderabad,50,4.1
309,MG,i3,101,506,Home,109.03,2015,Kolkata,37,4.2
310,Tesla,Nexon,22,208,Fast,95.62,2022,Bangalore,49,3.8
311,BMW,Leaf,111,645,Public,37.54,2017,Bangalore,31,4.1
312,Nissan,Taycan,56,598,Public,69.6,2015,Chennai,26,5
313,Audi,Model 3,49,255,Public,118.43,2017,Chennai,44,4.3
314,Porsche,EQC,73,126,Slow,21.77,2019,Kolkata,41,4.1
315,Kia,Model X,104,218,Supercharger,95.49,2019,Mumbai,21,4.5
316,Porsche,ZS EV,103,586,Fast,66.03,2023,Ahmedabad,44,4.4
317,BMW,EQC,105,249,Supercharger,41.33,2017,Surat,37,3.9
318,Mercedes,EV6,119,444,Supercharger,134.26,2024,Kolkata,26,3.2
319,Mercedes,ZS EV,119,185,Public,74.24,2021,Pune,38,3.3
320,Nissan,i3,104,137,Supercharger,148.24,2024,Hyderabad,39,3.9
321,Kia,i3,107,263,Home,97.09,2018,Kolkata,24,4.7
322,MG,Nexon,104,387,Supercharger,52.94,2017,Jaipur,20,3.8
323,Nissan,Nexon,26,483,Supercharger,48.41,2016,Mumbai,31,4.1
324,Porsche,Model S,27,435,Public,105.59,2024,Pune,37,3.7
325,Nissan,Taycan,105,603,Supercharger,55.52,2016,Mumbai,50,4.1
326,Porsche,i3,105,589,Slow,88.73,2021,Bangalore,57,4.6
327,Tesla,EV6,82,429,Fast,87.08,2017,Jaipur,43,4.9
328,Mercedes,Nexon,82,159,Home,7.25,2022,Pune,34,3.9
329,Tesla,e-tron,83,621,Fast,105.48,2021,Pune,24,4.1
330,Audi,Model 3,49,123,Slow,87.23,2019,Pune,32,4.3
331,Kia,EV6,117,579,Supercharger,122.5,2021,Mumbai,54,4.2
332,MG,Model 3,112,526,Public,141.17,2015,Pune,33,4.9
333,Porsche,EQC,29,289,Fast,75.83,2022,Hyderabad,26,4.3
334,MG,Model S,88,519,Supercharger,117.5,2024,Kolkata,48,2.3
335,Porsche,e-tron,68,392,Fast,72.99,2017,Bangalore,23,2.1
336,BMW,e-tron,58,301,Supercharger,47.39,2021,Hyderabad,25,3.3
337,Nissan,e-tron,53,585,Public,135.63,2018,Delhi,55,4.7
338,Audi,Model X,29,466,Slow,94.42,2016,Surat,67,2.1
339,Mercedes,Model X,28,544,Fast,13.79,2024,Bangalore,48,2.6
340,Porsche,Kona,79,459,Home,140.5,2018,Mumbai,44,4.8
341,MG,Taycan,115,371,Slow,65.5,2021,Hyderabad,64,3.3
342,Audi,Model X,24,218,Public,101.92,2016,Jaipur,61,2.8
343,Hyundai,Nexon,54,614,Home,144.09,2019,Ahmedabad,29,4.1
344,Hyundai,EV6,30,408,Supercharger,82.43,2020,Jaipur,22,4.7
345,Tesla,Model X,61,406,Fast,91.73,2019,Mumbai,54,4.1
346,Mercedes,ZS EV,99,168,Home,32.34,2021,Chennai,42,4.4
347,BMW,Model S,110,313,Slow,117.81,2020,Ahmedabad,56,2.1
348,MG,Model X,39,534,Home,80.64,2019,Mumbai,59,4.7
349,Nissan,Taycan,70,135,Public,75.58,2023,Bangalore,57,3.3
350,Nissan,Model X,20,228,Home,30.75,2017,Jaipur,67,4
351,MG,Nexon,109,509,Fast,68.96,2015,Bangalore,47,3.1
352,Kia,e-tron,30,206,Fast,142.57,2017,Bangalore,48,3.5
353,BMW,e-tron,80,486,Supercharger,61.2,2022,Mumbai,58,4.1
354,Audi,i3,98,128,Home,37.16,2024,Surat,48,2.3
355,Porsche,Leaf,58,465,Home,91.79,2019,Bangalore,40,3.2
356,Kia,Model 3,67,565,Public,78.67,2020,Surat,47,4.8
357,Porsche,Nexon,101,388,Fast,74.56,2022,Chennai,26,4.7
358,Porsche,Model X,107,607,Slow,28.67,2020,Jaipur,20,2.4
359,Kia,Nexon,47,649,Supercharger,136.76,2019,Bangalore,26,4
360,Tesla,EQC,108,220,Home,93.14,2015,Bangalore,19,3.3
361,Hyundai,Taycan,106,164,Supercharger,95.11,2019,Jaipur,23,3
362,Porsche,Nexon,94,527,Home,22.2,2022,Mumbai,25,3.3
363,Kia,e-tron,116,407,Home,71.07,2019,Kolkata,61,4.5
364,Kia,Model 3,99,126,Public,89.54,2020,Hyderabad,46,2.2
365,Tata,Nexon,55,395,Home,138.92,2020,Jaipur,39,3.8
366,Tesla,Kona,106,522,Supercharger,89.15,2017,Surat,26,3.2
367,Mercedes,EQC,89,485,Supercharger,143.99,2021,Jaipur,59,4.3
368,Tata,Leaf,81,133,Public,105.33,2023,Bangalore,68,4.5
